address,evmos_address,evmos_9000-1_staked,evmos_9000-1_count
nomic103cq2m2krf342sd9ycxnqdlur6c6afsukh7d33,evmos103cq2m2krf342sd9ycxnqdlur6c6afsugwuecn,56571905,3
nomic103ea4tz35qgv6rey3c6gm5vya63ch0j7snte4k,evmos103ea4tz35qgv6rey3c6gm5vya63ch0j7w2fdu5,43100000,3
nomic103keglqg86a6jxjhdh0mn90nlxqn9tz6wxe85r,evmos103keglqg86a6jxjhdh0mn90nlxqn9tz6slmnap,7275158,1
nomic103lc8fxhdpt9ewl4ckcp379fke4ehclwca3t7c,evmos103lc8fxhdpt9ewl4ckcp379fke4ehclwxynlh6,22529236,1
nomic103lgmr6yuxh67zyqh3r3svp28vck5hzh2mx5q6,evmos103lgmr6yuxh67zyqh3r3svp28vck5hzh5zyqfc,68504818,1
nomic103ltjdp8put607p5273zpv8fyp00vj0m0c8jvp,evmos103ltjdp8put607p5273zpv8fyp00vj0m3p9x9r,161370583,2
nomic103m2re629zmsxc2ags5cll7qjekzrplyx7qdqr,evmos103m2re629zmsxc2ags5cll7qjekzrplyc8zefp,69900001,4
nomic103mu6y9vu5hmxtjuf5gq7n3hh2ua4n5hyrr5d3,evmos103mu6y9vu5hmxtjuf5gq7n3hh2ua4n5h66pqyn,45000000,2
nomic103p8tu6z5zskua7ed32hyrp2llvygwezujj4us,evmos103p8tu6z5zskua7ed32hyrp2llvygwezztsp4j,51700000,1
nomic103pj999s8cww3cde6f2u9refntmx56lyvze6c4,evmos103pj999s8cww3cde6f2u9refntmx56lyjmmw3h,68965674,1
nomic103qyt73ltsl8y7rgt4rmepfpmcfv896g8y93yr,evmos103qyt73ltsl8y7rgt4rmepfpmcfv896gea89dp,55758891,2
nomic103r8f8cnvlazs5sdgsh52f2p5ewnpgz9pwmvc9,evmos103r8f8cnvlazs5sdgsh52f2p5ewnpgz9lhec38,8712162,1
nomic103sets4c8krx680q29fg6zv72qu0v79rkf63xs,evmos103sets4c8krx680q29fg6zv72qu0v79rgsc90j,127285324,1
nomic103sjyhjcrm2mpqua28lrccx9u9tq6xd7awarku,evmos103sjyhjcrm2mpqua28lrccx9u9tq6xd7rhlhl7,2100000,1
nomic103tl2r3f2qye5zgw6s79hepafsdktntr4kvw5f,evmos103tl2r3f2qye5zgw6s79hepafsdktntrt0w6at,61050000,2
nomic103uqyg2tgxkqjttuqy98xr0764qah7d72k0ydl,evmos103uqyg2tgxkqjttuqy98xr0764qah7d750dsya,230000000,1
nomic103w85cpj8mtetxqn00vm9cglnnwy7up5f2lh9q,evmos103w85cpj8mtetxqn00vm9cglnnwy7up5hnarvz,150000000,2
nomic103wan7q67ukemqem5ye2hkgz8wl5yk9af7yfkm,evmos103wan7q67ukemqem5ye2hkgz8wl5yk9ah8xale,45000002,1
nomic103wdtp8uj2vjethdxac6ymz33c887nku363tqc,evmos103wdtp8uj2vjethdxac6ymz33c887nku0rnlf6,153086600,1
nomic103wj4wy9zxcmrautlqcv7h23pcek9fnkypmed9,evmos103wj4wy9zxcmrautlqcv7h23pcek9fnk6cedy8,85000000,2
nomic103wtxfy9g2mzqvtdzlfuqkl2wddxxnakz0sfuh,evmos103wtxfy9g2mzqvtdzlfuqkl2wddxxnakukja44,18152377201,3
nomic103x6s59h6mg5rknz64vr3gudd8e5vy3ut5ymre,evmos103x6s59h6mg5rknz64vr3gudd8e5vy3u4dx02m,30810361,1
nomic103xemulgpp08h0jynemu2s03rnhxx92jmkf4t4,evmos103xemulgpp08h0jynemu2s03rnhxx92j90tpzh,320308847,1
nomic103zcwhn6eh5szqhp4vw04g93uytd0dw0ggcayt,evmos103zcwhn6eh5szqhp4vw04g93uytd0dw0k36fdf,159374736,1
nomic104084sct5578qeesjftu8l3twh7f8vnql2023r,evmos104084sct5578qeesjftu8l3twh7f8vnqpnd7cp,3875321,1
nomic1040kxcvzy5lv7t87k8d5ec8azcvncltpkrf2wv,evmos1040kxcvzy5lv7t87k8d5ec8azcvncltpg6t78w,105344559,3
nomic1044kr2z3t5a54wnewuz48a5avssk78rjr7hc0u,evmos1044kr2z3t5a54wnewuz48a5avssk78rja84vx7,62640000,2
nomic1044qug0qg6n73wawr6v3xhzeztx8nlf5sehp5g,evmos1044qug0qg6n73wawr6v3xhzeztx8nlf5wq44a2,727267234,1
nomic1046lttxcrp9rv720ky7qk2p3u38qksq60tnk60,evmos1046lttxcrp9rv720ky7qk2p3u38qksq63j3znd,4105220,1
